V1	V2	Cluster
PF3D7_0321200	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative	37
PF3D7_0321300	conserved Plasmodium protein, unknown function	90
PF3D7_0321400	protein kinase, putative	148
PF3D7_0321500	peptidase, putative	146
PF3D7_0321600	ATP-dependent RNA helicase DDX42, putative	16
PF3D7_0321700	conserved Plasmodium protein, unknown function	174
PF3D7_0321800	WD repeat-containing protein, putative	175
PF3D7_0321900	cyclic amine resistance locus protein	74
PF3D7_0322000	peptidyl-prolyl cis-trans isomerase	65
PF3D7_0322100	mRNA-capping enzyme subunit beta	147
PF3D7_0322200	conserved Plasmodium protein, unknown function	176
PF3D7_0322300	diacylglycerol O-acyltransferase	108
PF3D7_0322400	regulator of initiation factor 2 (eIF2)	171
PF3D7_0322500	iron-sulfur assembly protein, putative	140
PF3D7_0322600	conserved Plasmodium protein, unknown function	127
PF3D7_0322700	conserved Plasmodium protein, unknown function	97
PF3D7_0322800	conserved Plasmodium protein, unknown function	177
PF3D7_0322900	40S ribosomal protein S3A, putative	9
PF3D7_0323000	translation machinery-associated protein 7, putative	154
PF3D7_0323100	conserved Plasmodium protein, unknown function	115
PF3D7_0323200	conserved Plasmodium protein, unknown function	161
PF3D7_0323300	conserved protein, unknown function	160
PF3D7_0323400	Rh5 interacting protein	103
PF3D7_0323500	survival motor neuron-like protein	138
PF3D7_0323600	conserved Plasmodium protein, unknown function	114
PF3D7_0323700	U4/U6.U5 tri-snRNP-associated protein 1, putative	178
PF3D7_0323800	conserved Plasmodium protein, unknown function	111
PF3D7_0324100	Pfmc-2TM Maurer's cleft two transmembrane protein	59
PF3D7_0401800	Plasmodium exported protein (PHISTb), unknown function	145
PF3D7_0401900	acyl-CoA synthetase	81
PF3D7_0402000	Plasmodium exported protein (PHISTa), unknown function	75
PF3D7_0402100	Plasmodium exported protein (PHISTb), unknown function	138
PF3D7_0402200	surface-associated interspersed protein 4.1 (SURFIN 4.1), pseudogene	23
PF3D7_0402300	reticulocyte binding protein homologue 1	103
PF3D7_0402400	Plasmodium exported protein, unknown function	39
PF3D7_0403100	regulator of chromosome condensation, putative	40
PF3D7_0403200	pre-mRNA splicing factor, putative	120
PF3D7_0403300	conserved Plasmodium protein, unknown function	49
PF3D7_0403400	conserved Plasmodium protein, unknown function	66
PF3D7_0403500	ubiquitin specific protease, putative	55
PF3D7_0403600	conserved Plasmodium protein, unknown function	40
PF3D7_0403700	pre-mRNA-splicing factor CLF1, putative	100
PF3D7_0403800	alpha/beta hydrolase, putative	81
PF3D7_0403900	SET domain protein, putative	123
PF3D7_0404000	conserved Plasmodium protein, unknown function	103
PF3D7_0404100	AP2 domain transcription factor AP2-SP2, putative	1
PF3D7_0404200	conserved Plasmodium protein, unknown function	174
PF3D7_0404400	6-cysteine protein	164
PF3D7_0404500	6-cysteine protein	180
PF3D7_0404600	conserved Plasmodium membrane protein, unknown function	85
PF3D7_0404700	dipeptidyl aminopeptidase 3	5
PF3D7_0404800	conserved Plasmodium protein, unknown function	14
PF3D7_0404900	6-cysteine protein	148
PF3D7_0405000	ATP-dependent RNA helicase DDX51, putative	65
PF3D7_0405100	protein transport protein Sec24B, putative	135
PF3D7_0405200	ag-1 blood stage membrane protein homologue	181
PF3D7_0405300	liver specific protein 2, putative	90
PF3D7_0405400	pre-mRNA-processing-splicing factor 8, putative	100
PF3D7_0405500	conserved Plasmodium protein, unknown function	26
PF3D7_0405600	conserved Plasmodium membrane protein, unknown function	48
PF3D7_0405700	lysine decarboxylase, putative	29
PF3D7_0405800	conserved Plasmodium protein, unknown function	68
PF3D7_0405900	apical sushi protein	148
PF3D7_0406000	conserved Plasmodium protein, unknown function	101
PF3D7_0406100	V-type proton ATPase subunit B	9
PF3D7_0406200	sexual stage-specific protein precursor	125
PF3D7_0406500	NYN domain-containing protein, putative	128
PF3D7_0406600	conserved Plasmodium protein, unknown function	44
PF3D7_0406700	conserved Plasmodium protein, unknown function	37
PF3D7_0406800	ribosomal protein L25, putative	37
PF3D7_0406900	conserved Plasmodium protein, unknown function	182
PF3D7_0407000	conserved Plasmodium protein, unknown function	13
PF3D7_0407100	methyltransferase, putative	94
PF3D7_0407200	peptidyl-tRNA hydrolase 2, putative	183
PF3D7_0407300	transcription factor, putative	137
PF3D7_0407400	conserved Plasmodium protein, unknown function	48
PF3D7_0407500	mitochondrial carrier protein, putative	64
PF3D7_0407600	conserved Plasmodium protein, unknown function	172
PF3D7_0407700	conserved Plasmodium protein, unknown function	30
PF3D7_0407800	conserved Plasmodium protein, unknown function	148
PF3D7_0407900	AAA family ATPase, putative	103
PF3D7_0408000	conserved Plasmodium protein, unknown function	1
PF3D7_0408100	conserved Plasmodium protein, unknown function	138
PF3D7_0408400	conserved Plasmodium protein, unknown function	165
PF3D7_0408500	flap endonuclease 1	108
PF3D7_0408600	sporozoite invasion-associated protein 1	128
PF3D7_0408700	perforin-like protein 1	43
PF3D7_0408800	conserved Plasmodium protein, unknown function	151
PF3D7_0408900	tRNA N6-adenosine threonylcarbamoyltransferase	96
PF3D7_0409000	conserved Plasmodium protein, unknown function	21
PF3D7_0409100	U4/U6 small nuclear ribonucleoprotein PRP31, putative	45
PF3D7_0409200	protein SOF1, putative	66
PF3D7_0409300	conserved Plasmodium protein, unknown function	100
PF3D7_0409400	chaperone protein DnaJ	134
PF3D7_0409600	replication protein A1, large subunit	156
PF3D7_0409700	peptide chain release factor 2	185
PF3D7_0409800	zinc finger protein, putative	139
PF3D7_0409900	actin-like protein, putative	123
PF3D7_0410000	erythrocyte vesicle protein 1	140
PF3D7_0410300	protein phosphatase PPM1, putative	83
PF3D7_0410400	exosome complex component RRP4, putative	186
PF3D7_0410500	conserved Plasmodium protein, unknown function	95
PF3D7_0410600	conserved Plasmodium protein, unknown function	187
PF3D7_0410700	ribosome biogenesis GTPase A, putative	150
PF3D7_0410800	conserved Plasmodium protein, unknown function	150
PF3D7_0410900	conserved Plasmodium protein, unknown function	70
PF3D7_0411000	conserved Plasmodium protein, unknown function	85
PF3D7_0411100	conserved Plasmodium protein, unknown function	173
PF3D7_0411200	conserved Plasmodium protein, unknown function	29
PF3D7_0411300	conserved Plasmodium protein, unknown function	188
PF3D7_0411400	DEAD box ATP-dependent RNA helicase, putative	35
PF3D7_0411700	conserved Plasmodium protein, unknown function	130
PF3D7_0411800	conserved Plasmodium protein, unknown function	27
PF3D7_0411900	DNA polymerase alpha catalytic subunit A	10
PF3D7_0412000	LITAF-like zinc finger protein, putative	108
PF3D7_0412100	30S ribosomal protein S12, mitochondrial, putative	189
PF3D7_0412200	conserved Plasmodium protein, unknown function	190
PF3D7_0412300	phosphopantothenoylcysteine synthetase, putative	62
PF3D7_0413500	phosphoglucomutase-2	123
PF3D7_0413600	26S protease regulatory subunit 6B, putative	169
PF3D7_0413700	lysine decarboxylase-like protein, putative	108
PF3D7_0413800	50S ribosomal protein L10, putative	33
PF3D7_0413900	ubiquitin carboxyl-terminal hydrolase 13, putative	40
PF3D7_0414000	structural maintenance of chromosomes protein 3, putative	173
PF3D7_0414100	conserved Plasmodium membrane protein, unknown function	166
PF3D7_0414400	conserved Plasmodium protein, unknown function	170
PF3D7_0414500	RNA-binding protein, putative	63
PF3D7_0414600	acylated pleckstrin-homology domain-containing protein, putative	191
PF3D7_0414700	GTP-binding protein, putative	34
PF3D7_0414800	conserved Plasmodium protein, unknown function	5
PF3D7_0414900	armadillo-domain containing rhoptry protein	5
PF3D7_0415000	arsenical pump-driving ATPase, putative	26
PF3D7_0415100	conserved protein, unknown function	97
PF3D7_0415200	conserved Plasmodium protein, unknown function	28
PF3D7_0415300	cdc2-related protein kinase 3	152
PF3D7_0415400	coatomer subunit zeta, putative	138
PF3D7_0415500	nuclear cap-binding protein subunit 2, putative	39
PF3D7_0415600	GTP:AMP phosphotransferase	161
PF3D7_0415700	conserved Plasmodium protein, unknown function	108
PF3D7_0415800	RING zinc finger protein, putative	103
PF3D7_0415900	60S ribosomal protein L15, putative	9
PF3D7_0416000	RNA-binding protein, putative	156
PF3D7_0416100	glutamyl-tRNA(Gln) amidotransferase subunit A	156
PF3D7_0416200	conserved protein, unknown function	2
PF3D7_0416300	DNA helicase MCM9, putative	27
PF3D7_0416400	histone acetyltransferase, putative	33
PF3D7_0416500	repressor of RNA polymerase III transcription MAF1	30
PF3D7_0416600	conserved Plasmodium protein, unknown function	146
PF3D7_0416800	small GTP-binding protein sar1	154
PF3D7_0416900	conserved Plasmodium protein, unknown function	152
PF3D7_0417000	conserved Plasmodium protein, unknown function	182
PF3D7_0417100	mRNA-binding protein PUF2	95
PF3D7_0417200	bifunctional dihydrofolate reductase-thymidylate synthase	44
PF3D7_0417300	LETM1-like protein, putative	35
PF3D7_0417400	conserved Plasmodium protein, unknown function	154
PF3D7_0417500	memo-like protein	10
PF3D7_0417600	conserved Plasmodium protein, unknown function	133
PF3D7_0417700	conserved Plasmodium protein, unknown function	133
PF3D7_0417800	cdc2-related protein kinase 1	16
PF3D7_0417900	conserved Plasmodium protein, unknown function	133
PF3D7_0418100	protein SOC1, putative	137
PF3D7_0418200	eukaryotic translation initiation factor 3 subunit M, putative	100
PF3D7_0418300	conserved Plasmodium protein, unknown function	45
PF3D7_0418400	conserved Plasmodium protein, unknown function	145
PF3D7_0418500	trafficking protein particle complex subunit 3, putative	50
PF3D7_0418600	regulator of chromosome condensation, putative	95
PF3D7_0418700	RNA-binding protein NOB1, putative	137
PF3D7_0418800	MOLO1 domain-containing protein, putative	95
PF3D7_0418900	conserved Plasmodium protein, unknown function	57
PF3D7_0419000	conserved Plasmodium protein, unknown function	133
PF3D7_0419100	conserved Plasmodium protein, unknown function	96
PF3D7_0419200	protein transport protein GOT1, putative	126
PF3D7_0419300	conserved Plasmodium protein, unknown function	179
PF3D7_0419400	conserved Plasmodium protein, unknown function	18
PF3D7_0419500	conserved Plasmodium membrane protein, unknown function	76
PF3D7_0419600	ran-specific GTPase-activating protein 1, putative	4
PF3D7_0419700	apical merozoite protein	148
PF3D7_0419800	60S ribosomal protein L7ae/L30e, putative	139
PF3D7_0419900	phosphatidylinositol 4-kinase, putative	192
PF3D7_0420000	zinc finger protein, putative	100
PF3D7_0420100	serine/threonine protein kinase RIO2	128
PF3D7_0420200	holo-[acyl-carrier-protein] synthase, putative	42
PF3D7_0420300	AP2 domain transcription factor, putative	193
PF3D7_0420400	ribosome-recycling factor	146
PF3D7_0422000	steroid dehydrogenase, putative	125
PF3D7_0422100	transmembrane emp24 domain-containing protein, putative	83
PF3D7_0422200	erythrocyte membrane-associated antigen	147
PF3D7_0422300	alpha tubulin 2	89
PF3D7_0422400	40S ribosomal protein S19	9
PF3D7_0422500	pre-mRNA-splicing helicase BRR2, putative	65
PF3D7_0422600	conserved Plasmodium protein, unknown function	169
PF3D7_0422700	eukaryotic initiation factor 4A-III, putative	100
PF3D7_0422900	methyltransferase, putative	116
PF3D7_0423000	conserved Plasmodium protein, unknown function	40
PF3D7_0423100	AP-4 complex subunit sigma, putative	120
PF3D7_0423200	BSD-domain protein, putative	11
PF3D7_0423300	conserved Plasmodium protein, unknown function	148
PF3D7_0423400	apical asparagine-rich protein AARP	148
PF3D7_0423500	glideosome associated protein with multiple membrane spans 2	123
PF3D7_0423600	conserved Plasmodium protein, unknown function	139
PF3D7_0423700	early transcribed membrane protein 4	123
PF3D7_0423800	cysteine-rich protective antigen	103
PF3D7_0423900	probable protein, unknown function	23
PF3D7_0424000	Plasmodium exported protein (PHISTc), unknown function	87
PF3D7_0424100	reticulocyte binding protein homologue 5	5
PF3D7_0424200	reticulocyte binding protein homologue 4	5
PF3D7_0424300	erythrocyte binding antigen-165, pseudogene	5
PF3D7_0424400	surface-associated interspersed protein 4.2 (SURFIN 4.2)	78
PF3D7_0424500	serine/threonine protein kinase, FIKK family	66
PF3D7_0424600	Plasmodium exported protein (PHISTb), unknown function	4
PF3D7_0424700	serine/threonine protein kinase, FIKK family	194
PF3D7_0424800	Plasmodium exported protein (PHISTb), unknown function	81
PF3D7_0424900	Plasmodium exported protein (PHISTa), unknown function	66
PF3D7_0425200	Plasmodium exported protein (hyp15), unknown function	195
PF3D7_0425300	Plasmodium exported protein (PHISTa), unknown function, pseudogene	196
PF3D7_0425400	Plasmodium exported protein (PHISTa), unknown function	206
PF3D7_0500800	mature parasite-infected erythrocyte surface antigen	75
PF3D7_0500900	serine/threonine protein kinase, FIKK family	148
PF3D7_0501000	Plasmodium exported protein, unknown function	70
PF3D7_0501100	heat shock protein 40, type II	81
PF3D7_0501200	parasite-infected erythrocyte surface protein	70
PF3D7_0501300	skeleton-binding protein 1	66
PF3D7_0501400	interspersed repeat antigen	81
PF3D7_0501500	rhoptry-associated protein 3	5
PF3D7_0501600	rhoptry-associated protein 2	5
PF3D7_0501700	anaphase promoting complex subunit, putative	1
PF3D7_0501800	chromosome assembly factor 1	108
PF3D7_0501900	conserved protein, unknown function	197
PF3D7_0502000	vacuolar protein sorting-associated protein 11, putative	97
PF3D7_0502100	HCNGP-like protein	181
PF3D7_0502200	protein Mpv17, putative	110
PF3D7_0502300	conserved Plasmodium protein, unknown function	95
PF3D7_0502400	merozoite surface protein 8	23
PF3D7_0502500	conserved Plasmodium protein, unknown function	182
PF3D7_0502700	conserved Plasmodium protein, unknown function	42
PF3D7_0502800	DnaJ protein, putative	52
PF3D7_0502900	Tim10/DDP family zinc finger protein, putative	110
PF3D7_0503000	50S ribosomal protein L28, apicoplast, putative	191
PF3D7_0503100	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative	198
PF3D7_0503200	conserved Plasmodium protein, unknown function	51
PF3D7_0503300	serine/arginine-rich splicing factor 12	139
PF3D7_0503400	actin-depolymerizing factor 1	103
PF3D7_0503500	protein kinase, putative	69
PF3D7_0503600	myosin B	103
PF3D7_0503800	60S ribosomal protein L31	9
PF3D7_0503900	conserved Plasmodium protein, unknown function	199
PF3D7_0504000	cation transporting P-ATPase	96
PF3D7_0504100	AN1-type zinc finger protein, putative	103
PF3D7_0504200	ATP-dependent RNA helicase DDX27, putative	22
PF3D7_0504300	conserved Plasmodium protein, unknown function	43
PF3D7_0504400	ATP-dependent helicase, putative	146
PF3D7_0504500	MOLO1 domain-containing protein, putative	89
PF3D7_0504600	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial, putative	10
PF3D7_0504700	centrosomal protein CEP120, putative	166
PF3D7_0504800	conserved Plasmodium protein, unknown function	11
PF3D7_0504900	conserved protein, unknown function	46
PF3D7_0505000	conserved Plasmodium membrane protein, unknown function	70
PF3D7_0505100	trafficking protein particle complex subunit 8, putative	115
PF3D7_0505200	actin-like protein, putative	200
PF3D7_0505300	UDP-N-acetylglucosamine transporter, putative	74
PF3D7_0505400	conserved Plasmodium protein, unknown function	33
PF3D7_0505500	DNA mismatch repair protein MSH6, putative	146
PF3D7_0505600	conserved Plasmodium protein, unknown function	152
PF3D7_0505700	conserved Plasmodium membrane protein, unknown function	201
PF3D7_0505800	small ubiquitin-related modifier	12
PF3D7_0505900	conserved Plasmodium protein, unknown function	64
PF3D7_0506000	conserved Plasmodium protein, unknown function	110
PF3D7_0506100	60S ribosomal subunit protein L24, putative	97
PF3D7_0506200	TATA-box-binding protein	76
PF3D7_0506300	conserved Plasmodium protein, unknown function	202
PF3D7_0506400	conserved Plasmodium protein, unknown function	95
PF3D7_0506500	conserved Plasmodium protein, unknown function	185
PF3D7_0506700	GTPase-activating protein, putative	16
PF3D7_0506800	transcription factor 25, putative	98
PF3D7_0506900	rhomboid protease ROM4	18
PF3D7_0507000	conserved Plasmodium protein, unknown function	29
PF3D7_0507100	60S ribosomal protein L4	9
PF3D7_0507200	subtilisin-like protease 3	148
PF3D7_0507300	PIMMS2 protein, putative	103
